Row.names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,46,47,T03_1_048,T04_1_070,T05_3_044,T08_2_164,T10_2_117,27,29,30,33,34,35,36,37,38,39,41,42,43,44,45,T01_1_016,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T08_1_161,T08_3_020,T09_3_077,T10_1_291,T11_1_015,T11_3_146
group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
stage,3,4,4,4,4,0,4,3,0,0,0,4,4,4,4,0,0,0,4,0,3,0,4,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,3,0,0,4,0,0,1,0,1,1,4,0,1,1,0,1,4,1
ENSG00000077232,3040,2076,1986,892,1627,858,1082,2207,1750,2749.45,1478,1740,3026.71,2154,3780,1762,731,2523,2355,807,1750,814,2430,4993,3358,1981,1677,2780,2675,2642,1323,2886.89,5225,8726,19079,2521,1049,1491,734,1629,2912,5272.33,1779.1,918,1385,2312,868,2436,14505,4120,977,9901,16206,1559.63,2386,2403.87,1455
ENSG00000077312,209,132,166,325,193,253,104,134,118,199,139,86,295,153,112,133,140,230,158,272,126,100,169,274,144,193,94,134,187,204,109,426,194,150,76,195,64,166,6,71,37,154,64,169,71,129,54,83,61,129,137,156,125,266,172,127,140
ENSG00000085465,6253,18,49,6,15,38,17,0,0,0,65,64,129,0,114,63,0,48,8,24,11,65,66,75,12,3,36,28,671,47,2876,20,52,49,2495,6,99,14,6,4,0,9,15,25,10,51,91,73,3059,76,23,130,1763,36,118,118,28
ENSG00000092758,3,2,10,7049.91,15,0,0,0,85,49,30,122,27,0,4,3,0,4,1,1,136,7,2,33,6,13,354,2,4,30,3,0,10,0,0,114,0,127,0,9,0,9,12,2,1,0,20,3,3,3,5,4,11,9,13,1,10
ENSG00000100823,895,155,422,334,354,294,455,676,704,534,603,675,643,845,317,422,176,394,593,821,313,323,471,723,377,693,171,527,427,331,278,827,620,430,189,639,136,344,52,297,209,314,397,402,267,257,160,260,137,343,417,436,335,484,358,254,259
ENSG00000106366,46,10,1462,210,838,22,57,43,372,1378,107,30,12,285,172,4,49,74,361,139,27,14,105,36,47,556,1742,136,75,869,26,719,170,39,12,194,0,63,7,111,164,70,57,39,95,51,60,17,6,121,745,19,24,215,81,121,19
ENSG00000107223,409,93,368,432,236,46,175,123,486,241,492,194,195,177,99,309,102,264,216,245,120,211,275,417,101,67,181,229,113,118,126,250,277,213,95,284,76,185,8,151,49,254,204,133,115,169,61,148,69,160,199,155,80,175,181,184,134
ENSG00000109063,15,26,32,121,36,60,28,219,0,17,39,82,11,5,38,59,9,47,50,37,50,45,13,60,6,0,29,72,38,42,7,24,11,27,9,16,9,30,0,22,5,14,29,17,14,7,6,8,4,35,31,55,11,38,37,70,33
ENSG00000111218,9,0,0,0,0,0,0,0,0,0,3,5,0,0,3,2,0,0,1,1,0,0,0,230,1,0,1,0,2,0,6,2,0,20,0,1,0,6,0,1,0,0,5,0,0,0,49,0,32,10,0,13,19,0,27,0,15
ENSG00000112234,380,267,497,190,157,243,237,283,118,496,384,494,320,482,505,303,209,381,265,246,214,165,442,354,478,350,295,410,443,222,306,554,421,473,250,502,242,389,61,378,314,569,248,263,360,701,399,471,409,1009,417,722,728,486,474,574,434
ENSG00000116183,6,0,0,0,0,0,0,0,0,0,10,120,28,0,1,0,0,2,0,0,0,19,1,7,1,6,0,2,3,1,0,83,0,14,0,7,13,269,82,5,0,7,0,0,1,0,56,12,0,56,0,2,3,9,2,13,0
ENSG00000123243,365,33,18,48,135,0,26,186,19,84,50,239,158,103,45,1,33,52,95,48,30,9,68,39,19,212,58,14,428,84,483,138,16,19,383,26,21,35,204,75,3,145,596,13,63,15,272,72,654,288,57,867,344,182,773,63,85
ENSG00000126838,4,0,13,9,0,0,0,0,0,0,0,16,15,0,16,3,0,3,0,0,4,2,177,26,4,36,8,20.01,18,11,357.26,9.49,67.34,495,435,1,0,2,13,8,19,33,8,0,2,10,23,18,433.27,74.04,11,325.11,153,86,7,32.03,25
ENSG00000127554,78.96,40.67,81.91,131.7,38.59,209,64.8,98,56.35,88.87,94.58,46.26,166.72,215.23,35.33,104.66,34.12,81.22,35.56,141.92,71.99,43.94,66.97,135.36,73.68,51.72,59.23,93.72,92.34,59.49,39.33,81.5,82.75,57.7,20.66,104.7,13,47.36,0,18.18,25.24,63.35,29.87,34.52,40.45,100.04,43.6,21.73,34.15,65.57,110,80.67,55.82,89.08,79.61,26.16,89.31
ENSG00000130948,5,0,0,5,0,0,0,0,0,0,0,2.23,0,0,19.67,5,2,0,0,0,9.16,0.15,8.79,6.96,3,3,0,2,2,1.28,0,0,0,19,45.5,2,6,0.94,15,1,0,0,14,0,1.62,9.38,17,0,37.21,4,16,19.09,21.78,2.56,20.74,5,0.89
ENSG00000133121,314,201,326,164,327,169,171.45,360,390,445,249,382,196,170,300,286,145.67,260,253,132,143,224,379,310.37,412,164,121,266.34,303,258.25,750,591,397,557,359,164,583,644,241,191,248,124,385,395,170,276,254.42,327,381.24,478,351.16,528,444,118,278.33,598.55,505.28
ENSG00000136942,832,209,700,787,1130,422,633,503,565,1145,1043,503,749,733,365,584.99,379,889,521,1102,430,332,677,749,399,680,309,615,538,330,247,1041,1068,551,205,571,367,303,212,309,241,693,501,431,232,445,153,262,134,661.99,608,550.99,371,1042,539,334.97,517
ENSG00000137309,707,222,929,4134,1241,367,239,442,1228,1058,270,929,691,447,124,192,1366,373,2578,1402,526,211,523,576.9,541,4371,488,1649,1317,1568,392,1656,384,637,91,2410,288,424,32,575.98,185,478,858,185,280,777,264,160,342,256,823,600,245,1214,806,261,333
ENSG00000139163,1259,1026,1178,1071,1334,1216,1007,1015,636,1228,1025,1442,1587,1423,1518,1038,1087,1100,1305,751,848,916,1664,1568,1377,2250,1062,2023,2472,1417,1389,1577,1400,1994,1645,1631,946,964,452,1141,1052,1179,698,733,807,2256,944,2063,2825,4809,1722,3153,2919,2054,2121,2002,1737
ENSG00000141858,192,93,653,278,303,158,332,300,96,228,155,244,265,348,174,243,167,128,388,238,255,215,147,293,399,236,105,346,233,144,141,329,220,320,123,246,125,122,65,131,165,236,160,142,139,410,116,95,128,226,173,205,108,254,197,201,161
ENSG00000147206,0,4,0,0,0,0,0,0,0,0,124,0,6,0,0,7,0,2,7,1,0,10,0,2,11,0,7,1,0,3,18,4,0,0,6,0,0,4,0,1,3,0,0,0,10,0,4,6,3,46,0,28,27,0,30,10,16
ENSG00000150637,34,8,49,55,71,15,21,43,0,66,46,53,109,95,119,31,58,24,52,19,43,58,33,55,26,59,80,99,69,29,48,40,87,60,120,50,821,31,14,102,56,34,30,36,21,26,124,29,131,215,62,115,140,821,90,125,84
ENSG00000151320,271,9,3,35,174,25,48,28,0,117,24,123,157,102,72,177,23,58,70,93,37,62,80,107,123,59,49,121,142,137,319,113,343,570,403,93,0,167,99,49,60,610,109,17,25,165,123,122,986,361,12,250,269,87,105,636,146
ENSG00000151632,45.14,135.78,15.35,37.19,84.14,398.6,0,145,172.5,1083.48,10,45.66,22,0,6.82,0,48.96,15.53,54.11,23.54,16.45,0,86.76,0,57.18,2496.16,2699.84,81,13.86,5368.91,32.46,19.48,29,12.97,24,16.63,6,45.2,0,17.01,14,0,218.78,51.48,2.25,0,47.25,2.03,54.23,42.06,8,34.49,49.95,6.82,51.23,26.55,42.97
ENSG00000152154,30,12,3,20,0,0,0,0,80,0,31,42,75,0,46,13,15,13,15,7,17,31,114,26,7,39,5,13,32,13,240,4,117,29,284,18,8,158,149,11,22,17,11,13,14,3,12,4,298,17,12,86,387,6,21,39,47
ENSG00000153993,149,0,1,26,0,0,17,70,39,5,8,67,0,7,46,8,17,7,305,101,6,0,45,2,3,12,46,10,64,426,429,121,456,178,343,24,0,56,24,73,262,5,10,11,0,0,73,119,2140,286,85,526,291,128,121,23,151
ENSG00000155506,3031,1831,3015,3691,2874,2365,2447,1696,2629,3312,3200,2320,2702,3348,2049,2036,1839,2321,2997,6065,1477,2036,2688,3102,2994,3855,1653,2739,3833,3427,2151,3805,2021,2719,1404,3353,1727,2401,586,1616,1081,1982,1355,2604,1403,2863,1304,1760,1740,3344,3791,3404,2519,3736,2564,2982,2238
ENSG00000155657,1283.55,1481.3,1319.05,1590.52,457.41,1469.95,224,2306.36,689.74,1679.79,1097.46,3369.5,1680.82,510.06,2034.85,1409.03,311.61,2442.2,1570.66,1295.25,720.13,691.1,1034.43,1177.66,990.77,1805.59,1811.04,1149.58,1985.63,2317.74,1647.01,997.87,1605.76,1521.83,929.98,414.38,1284.58,1177.72,298.52,3903.65,912.69,13170.83,1434.68,2137.84,1002.19,1881.65,1950.07,1262.6,867.68,3169.46,2062.99,1644.32,2542.61,9999.87,1406.67,34923.55,1817.55
ENSG00000156218,74,54,15,62,82,0,0,207,14,26,18,141,70,97,30,103,3,97,2,90,108,58,49,31,93,4,143,28,322,366,155,30,84,187,420,55,51,91,153,75,1518,34,55,59,2,0,93,152,21,344,0,4043,91,87,69,80,15
ENSG00000160211,101,40,119,127,161,655,47,66,2449,710,101,77,97,160,108,78,44,143,119,98,42,95,139,178,185,1614,486,603.91,169,939,450,305,108,297,15,222,10,231,0,75,36,102,60,43,64,157,77,78,171,182,122,178,119,318,141,84,172
ENSG00000163481,103,29,50,58,27,49,34,63,90,56,58,75,34,51,44,38,27,46,52,101,48,38,41,79,57,54,45,103,71,56,37,52,28,29,34,75,30,80,0,36,12,42,44,23,32,34,38,53,22,54,16,55,30,80,82,31,45
ENSG00000163644,277,388,289,204,442,130,67,162,106,211,160,470,256,155,92,101,229.72,243,171,257,172,76,454,60,261,220,268,452,185,113,245,312,131.16,454,192,539,240,503,172,481,125,81,128,772,211,334,172,559,529,850,193,310,418,1815,576,219,568
ENSG00000163931,957,694,623,1651,2394,5337,387,340,1088,2621,598,612,1003,764,582,634,385,637,1263,1463,521,157,897,1325,1162,2285,1651,2321,2194,8184,828,2270,1006,973,363,996,280,645,165,325,257,564,696,269,271,682,262,437,442,556,2016,1491,1097,1148,1748,783,1426
ENSG00000164120,15,0,8,39,13,0,29,0,0,40,161,253,6067,89,71,10,0,12,22,20,1,27,68,6,8,2,12,8,29,28,310,23,40,8,810,238,114,1,149,11,330,0,0,6,22,0,84,10,375,204,18,95,2185,42,37,109,15
ENSG00000167165,1,126.15,0,0,0,1281.93,0,94.37,0,416.17,4,0,0,0,2,0,0,0,3,12.92,0,1,4.11,0,1,135.54,495.18,0,3,172.67,0,0,0,0,0,0,4,7,0,0,0,1,10,0,5,0,28.49,0,0,9,0,0,16.51,0,5.25,0,17.71
ENSG00000171658,0,127,0,3,21,168,8,0,57,0,5,0,0,0,2,5,3,3,1,0,0,0,2,13,4,179,655,19,2,114,25,12,0,1,0,6,0,41,0,2,0,0,6,0,0,7,13,0,8,5,7,3,4,1,4,8,5
ENSG00000171928,341.53,376.33,319.69,145.66,178.54,421.64,335.74,146.64,29.63,439.77,220.14,270.2,474.1,224.42,336.36,339.95,442.15,283.02,292.84,314.5,155.15,143.76,518.57,284.86,557.24,427.15,225.93,479.45,563.89,374.74,694.45,494.39,205.34,605.21,661.74,457.15,267.35,338.64,335,375.54,512.47,266.68,238.1,215.86,233.76,639.66,328.71,659.34,812.58,1249.92,522.18,762.06,534.25,395.65,543.65,367.72,456.35
ENSG00000174123,1,0,9,5,0,0,0,214,32,0,0,14,18,0,3,1,0,8,1,7,3,0,2,2,8,9,23,6,26,3,16,35,3,5,15,20,0,3,0,220,0,3,0,0,13,0,17,2,6,12,0,68,11,516,6,19,71
ENSG00000177156,504,154,261,549,756,577,339,447,1008,551,259,124,259,358,191,268,156,358,293,229,129,137,353,364,542,2596,551,677,618,1890,350,1370,546,603,52,320,165,269,84,167,119,226,205,202,219,244,169,253,169,264,566,504,309,572,378,196,403
ENSG00000179520,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,7,59,1,0,2,0,1,28,0,0,0,0,0,16,0,44,7,0,30,14,0,2,0,0
ENSG00000182253,25.17,69.04,179,638.32,219,216.63,176.14,325,226.92,156,309.45,64.41,111,22,159.29,81.9,103,564.01,44.97,71.18,45.01,137.07,82.43,257.35,147.71,91.2,174.46,463.75,31.81,139.55,25,153,108.62,109,38,89,79,145.58,15,76.79,11.81,106,105,88,112.2,155.96,95.41,69.27,22.71,377.87,43,63.28,97.96,147.69,52.18,187,68.57
ENSG00000186529,3,85,0,0,35,1856,53,92,0,22,0,2,0,0,1,0,184,1,40,3,87,9,10,13,3,72,668,12,107,267.82,0,5,0,4,0,6,0,10,0,5,0,0,0,0,28,10,40,7,0,0,104,12,43,10,21,0,0
ENSG00000186908,445,468,328,237,384,570,281,346,313,356,273,556,360,331,447,409,234,384,502,455,317,144,411,343,382,449,553,263,550,527,271,587,395,458,493,503,265,493,131,408,348,342,306,294,401,767,334,590,593,1309,727,726,1266,883,755,613,602
ENSG00000187134,87.86,122.22,18.65,228.81,72.91,221.4,0,92,333.8,266.52,29,197.34,79,0,30.26,4,34.04,25.47,74.89,71.46,28.55,6,41.38,4,142.82,428.12,3158.2,132.91,85.51,5696.47,81.67,60.52,1,25.03,0,46.55,39,92.03,18,70.99,0,4,159.22,162.52,3.75,29,121.75,23.3,141.84,27.33,17,28.71,153.05,18.18,143.78,47.66,123.27
ENSG00000188385,9,29,29,6,14,1000,7,228,259,137,17,46,23,0,237,8,3,13,2,28,3,176.78,43,74,0,19,77,6,10,457,0,24,1,0,17,5,18,10,0,20,0,20,8,27,2,0,203,27,11,56,23,10,45,28,18,66,43
ENSG00000189423,208.48,221.24,49.73,82.72,231.22,138,217.24,27.35,57.38,183.54,59.98,96.34,75.54,27.26,447.49,205.51,96.35,71.81,89.35,94.61,49.79,419.7,298.85,291.54,220.79,91.94,211.99,112.97,343.05,165.22,786.89,157.74,412.4,903.41,413.59,282.12,136.08,178.42,69.17,274.07,637.89,163.7,80.15,66.34,98.29,71.55,154.25,362.85,1525.23,335.88,291.94,1522.28,761.84,48.07,372.62,617.45,486.41
ENSG00000196754,78,17,5,6,50,31,0,265,0,0,0,2,0,75,7,8,518,1,629,72,20,26,124,6,47,657,521,240,148,68,0,33,1,26,0,51,17,24,0,14,9,0,19,0,6,66,40,44,4,6,26,19,23,2,82,5,31
ENSG00000196932,15.09,13,8,7,0,0,0,0,110,37,12,115.61,196.03,17,132,0,45,8.07,31,16,6,0,259.19,47,21,25.68,50,9.1,10,9,1033.79,5.13,321,5,235,55.79,0,289.62,0,24,0,5,35,0,13,21,76.81,55,2565.14,86,70,53,933.35,16.33,47.09,32,276.64
ENSG00000198074,4,67,2,0,26,1849,0,0,0,94,0,0,0,0,5,0,316.8,0,12,6,0,9,33,0,1,689.93,959.71,123,23,349,15,18,0,27,0,0,0,4,0,0,0,6,2,0,14,0,9,5,13,4,30,2,3,0,3,3,7
ENSG00000199347,10.99,55,236.73,46.99,10,7,6.97,27,413,20,67.95,16.98,44,53,10.89,130.98,121.95,0,78.98,17.95,10.98,2.98,18,46.96,8,0,0.5,1.82,0.91,4.82,12.13,0,2.92,10.91,8,4,8,2.99,3.93,40.95,48,9,2,2,0,13.86,0,0.99,4.68,4.94,0,0.98,0,2.87,1.97,0,0
