Row.names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,T05_3_044,T04_1_070,27,29,30,33,34,35,36,37,38,39,41,42,43,44,45,46,47,T01_1_016,T03_1_048,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T08_1_161,T08_2_164,T08_3_020,T09_3_077,T10_1_291,T10_2_117,T11_1_015,T11_3_146
group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
stage,3,4,4,4,4,0,4,3,0,0,0,4,4,4,4,0,0,0,4,0,3,0,4,0,0,0,4,4,0,0,0,0,0,0,3,0,0,4,0,0,0,0,1,0,0,1,1,4,0,1,1,1,0,1,0,4,1
ENSG00000072062,314,241,455,433,466,178,191,42,453,436,343,283,556,442,233,287,213,307,434,277,439,252,616,555,303,231,521,390,478,250,430,230,341,49,179,212,332,192,120,190,374,261,362,229,147,181,184,475,365,340,270,280,385,320,341,278,344
ENSG00000077232,3040,2076,1986,892,1627,858,1082,2207,1750,2749.45,1478,1740,3026.71,2154,3780,1762,731,2523,2355,807,1750,814,2430,2780,1677,1323,2886.89,5225,8726,19079,2521,1049,1491,734,1629,2912,5272.33,1779.1,918,1385,4993,3358,2312,1981,868,2436,14505,4120,977,9901,2675,16206,1559.63,2386,2642,2403.87,1455
ENSG00000078549,50,13,0,5,318,0,15,0,0,1595,52,797,43,63,149,181,1,7,89,10,11,176,121,61,30,6077,51,916,2323,2183,51,0,34,154,128,16,0,1507,20,28,160,149,1,14,271,629,1153,462,10,4051,3295,3728,10,3309,5646,966,845
ENSG00000078814,17,52,64,37,34,80,86,0,0,24,2591,111,77,304,2709,35,15,57,15,15,64,11432.73,12,59,78,13,17,391,59,51,18,38,40,56,5,13,45,31,92,22,1454,17,75,24,107,59,27,1202,23,53,43,68,28,102,55,4291,83
ENSG00000084676,596,329,731,626,776,495,298,482,834,638,781,927,655,914,424,399,389,614,520,574,455,321,519,1283,428,466,664,924,572,364,508,177,503,143,569,180,609,248,321,440,624,1036,388,442,171,412,298,611,416,618,462,768,811,379,410,505,508
ENSG00000085465,6253,18,49,6,15,38,17,0,0,0,65,64,129,0,114,63,0,48,8,24,11,65,66,28,36,2876,20,52,49,2495,6,99,14,6,4,0,9,15,25,10,75,12,51,3,91,73,3059,76,23,130,671,1763,36,118,47,118,28
ENSG00000099822,0,0,13,12,69,154,0,0,0,41,25,2,0,13,13,2,3,0,4,6,5,2,3,6,0,1,4,3,3,0,2,0,1,0,1,0,5,8,0,2,8,3,0,6,15,7,0,3,2,5,1,3,16,7,1,11,13
ENSG00000100823,895,155,422,334,354,294,455,676,704,534,603,675,643,845,317,422,176,394,593,821,313,323,471,527,171,278,827,620,430,189,639,136,344,52,297,209,314,397,402,267,723,377,257,693,160,260,137,343,417,436,427,335,484,358,331,254,259
ENSG00000107223,409,93,368,432,236,46,175,123,486,241,492,194,195,177,99,309,102,264,216,245,120,211,275,229,181,126,250,277,213,95,284,76,185,8,151,49,254,204,133,115,417,101,169,67,61,148,69,160,199,155,113,80,175,181,118,184,134
ENSG00000108107,1449,576,1077,2694,1709,1004,1177,881,608,1538,1187,636,1768,1464,788,863,727,1366,1030,1725,1073,694,1264,1127,863,703,1832,2485,1215,638,1175,584,1071,158,741,374,1059,620,836,396,1717,620,1028,567,341,554,292,1006,1250,1056,1061,797,2629,1202,665,888,1253
