Row.names,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,19,20,21,22,23,24,25,T05_3_044,T04_1_070,27,29,30,33,34,35,36,37,38,39,41,42,43,44,45,46,47,T01_1_016,T03_1_048,T03_2_045,T03_3_085,T04_2_044,T04_3_028,T05_1_034,T07_2_060,T08_1_161,T08_2_164,T08_3_020,T09_3_077,T10_1_291,T10_2_117,T11_1_015,T11_3_146
type,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000153993,149,0,1,26,0,0,17,70,39,5,8,67,0,7,46,8,17,7,305,101,6,0,45,10,46,429,121,456,178,343,24,0,56,24,73,262,5,10,11,0,2,3,0,12,73,119,2140,286,85,168,526,64,291,128,121,426,23,151
ENSG00000242265,434,485,9763,3820,541,181,993,2,58,314,892,1777,0,1271,254,337,175,91,517,296,66,71,1051,2729,202,12,619,104,46,24,1917,355,980,0,910,107,1,944,10,186,34,608,67,583,160,125,5,380,26,255,8,79,71,73,402,770,194,51
ENSG00000072062,314,241,455,433,466,178,191,42,453,436,343,283,556,442,233,287,213,307,434,277,439,252,616,555,303,231,521,390,478,250,430,230,341,49,179,212,332,192,120,190,374,261,362,229,147,181,184,475,365,340,340,270,280,385,320,341,278,344
ENSG00000077232,3040,2076,1986,892,1627,858,1082,2207,1750,2749.45,1478,1740,3026.71,2154,3780,1762,731,2523,2355,807,1750,814,2430,2780,1677,1323,2886.89,5225,8726,19079,2521,1049,1491,734,1629,2912,5272.33,1779.1,918,1385,4993,3358,2312,1981,868,2436,14505,4120,977,3876,9901,2675,16206,1559.63,2386,2642,2403.87,1455
ENSG00000145734,1482,766,996,1108,1058,1048,1321,1276,299,1231,1267,1189,1224,1258,994,1432,739,809,1377,2995,1137,1718,778,711,477,759,1026,1016,1444,503,954,895,819,228,1394,548,1213,362,1139,837,1751,842,957,958,499,627,684,1186,634,958,890,1070,705,920,916,648,1193,608
ENSG00000085465,6253,18,49,6,15,38,17,0,0,0,65,64,129,0,114,63,0,48,8,24,11,65,66,28,36,2876,20,52,49,2495,6,99,14,6,4,0,9,15,25,10,75,12,51,3,91,73,3059,76,23,44,130,671,1763,36,118,47,118,28
ENSG00000100823,895,155,422,334,354,294,455,676,704,534,603,675,643,845,317,422,176,394,593,821,313,323,471,527,171,278,827,620,430,189,639,136,344,52,297,209,314,397,402,267,723,377,257,693,160,260,137,343,417,359,436,427,335,484,358,331,254,259
ENSG00000139163,1259,1026,1178,1071,1334,1216,1007,1015,636,1228,1025,1442,1587,1423,1518,1038,1087,1100,1305,751,848,916,1664,2023,1062,1389,1577,1400,1994,1645,1631,946,964,452,1141,1052,1179,698,733,807,1568,1377,2256,2250,944,2063,2825,4809,1722,2807,3153,2472,2919,2054,2121,1417,2002,1737
ENSG00000125844,2824,564,2813,3242,1942,2366,1471,1391,2471,1273,3550,1116,1024,934,531,2299,531,1778,1102,2515,934,2159,1845,1853,1390,1493,2146,2106,2084,745,1614,569,1955,895,1164,568,859,600,843,1111,4108,1027,1393,989,530,932,613,920,1130,1199,1128,1008,793,781,1004,1006,1376,1400
ENSG00000078814,17,52,64,37,34,80,86,0,0,24,2591,111,77,304,2709,35,15,57,15,15,64,11432.73,12,59,78,13,17,391,59,51,18,38,40,56,5,13,45,31,92,22,1454,17,75,24,107,59,27,1202,23,67,53,43,68,28,102,55,4291,83
